MSA_MD_Code,MSA_MD_Name
29404,"Lake County-Kenosha County, IL-WI (MD)"
29420,"Lake Havasu City-Kingman, AZ (MSA)"
29460,"Lakeland-Winter Haven, FL (MSA)"
29500,"Lamesa, TX (MSA)"
29540,"Lancaster, PA (MSA)"
29620,"Lansing-East Lansing, MI (MSA)"
29660,"Laramie, WY (MSA)"
29700,"Laredo, TX (MSA)"
29740,"Las Cruces, NM (MSA)"
29780,"Las Vegas, NM (MSA)"
29820,"Las Vegas-Henderson-Paradise, NV (MSA)"
29860,"Laurel, MS (MSA)"
29900,"Laurinburg, NC (MSA)"
29940,"Lawrence, KS (MSA)"
29980,"Lawrenceburg, TN (MSA)"
30020,"Lawton, OK (MSA)"
30060,"Lebanon, MO (MSA)"
30100,"Lebanon, NH-VT (MSA)"
30140,"Lebanon, PA (MSA)"
30220,"Levelland, TX (MSA)"
30260,"Lewisburg, PA (MSA)"
30280,"Lewisburg, TN (MSA)"
30300,"Lewiston, ID-WA (MSA)"
30340,"Lewiston-Auburn, ME (MSA)"
30380,"Lewistown, PA (MSA)"
30420,"Lexington, NE (MSA)"
30460,"Lexington-Fayette, KY (MSA)"
30580,"Liberal, KS (MSA)"
30620,"Lima, OH (MSA)"
30660,"Lincoln, IL (MSA)"
30700,"Lincoln, NE (MSA)"
30780,"Little Rock-North Little Rock-Conway, AR (MSA)"
30820,"Lock Haven, PA (MSA)"
30860,"Logan, UT-ID (MSA)"
30900,"Logansport, IN (MSA)"
30940,"London, KY (MSA)"
30980,"Longview, TX (MSA)"
31020,"Longview, WA (MSA)"
31060,"Los Alamos, NM (MSA)"
31080,"Los Angeles-Long Beach-Anaheim, CA (MSA)"
31084,"Los Angeles-Long Beach-Glendale, CA (MD)"
31140,"Louisville/Jefferson County, KY-IN (MSA)"
31180,"Lubbock, TX (MSA)"
31220,"Ludington, MI (MSA)"
31260,"Lufkin, TX (MSA)"
31300,"Lumberton, NC (MSA)"
31340,"Lynchburg, VA (MSA)"
31380,"Macomb, IL (MSA)"
31420,"Macon-Bibb County, GA (MSA)"
31460,"Madera, CA (MSA)"
31500,"Madison, IN (MSA)"
31540,"Madison, WI (MSA)"
31580,"Madisonville, KY (MSA)"
31620,"Magnolia, AR (MSA)"
31660,"Malone, NY (MSA)"
31680,"Malvern, AR (MSA)"
31700,"Manchester-Nashua, NH (MSA)"
31740,"Manhattan, KS (MSA)"
31820,"Manitowoc, WI (MSA)"
31860,"Mankato, MN (MSA)"
31900,"Mansfield, OH (MSA)"
31930,"Marietta, OH (MSA)"
